order_id,supplier_id,product_id,quantity,order_date,destination_city
1,50,78,88,2023-12-23,Crystalland
2,8,145,6,2023-11-04,North Stephanie
3,35,110,85,2023-06-27,Kellyside
4,5,130,83,2023-07-09,West Kirk
5,1,108,63,2023-06-24,West Lindsey
6,28,93,82,2023-02-24,Port Marybury
7,46,40,56,2023-08-24,North Amber
8,47,134,84,2023-04-01,West James
9,40,138,100,2023-05-19,New Harold
10,30,112,94,2023-09-05,West Tara
11,18,83,32,2023-10-31,Austinstad
12,18,116,32,2023-02-14,Timothyland
13,37,157,86,2023-08-26,New Jerome
14,22,8,64,2023-07-14,Gonzalesstad
15,12,125,28,2023-06-16,Hugheston
16,17,88,36,2023-07-01,North Austinton
17,45,71,72,2023-11-02,Lake Christopher
18,34,49,11,2023-01-06,Port Stevenberg
19,47,105,63,2023-05-04,West Lisa
20,49,62,89,2023-10-12,Welchborough
21,42,183,63,2023-09-01,Lake Bethany
22,2,24,38,2023-08-18,Port Micheleland
23,26,178,32,2023-04-24,New Ericfort
24,43,149,48,2023-06-06,Spencermouth
25,36,136,45,2023-08-31,Port Kimberly
26,48,141,43,2023-08-06,Grahamfort
27,45,117,35,2023-06-30,North April
28,17,60,16,2023-06-06,Garciahaven
29,21,31,96,2023-04-09,South Ravenstad
30,49,177,24,2023-10-02,Riosview
31,14,190,62,2023-04-09,Robertstad
32,47,151,98,2023-05-22,Samueltown
33,39,73,13,2023-09-26,New Madison
34,19,59,47,2023-04-10,South Tylerstad
35,20,4,91,2023-04-02,New Briannabury
36,9,71,6,2023-10-01,Evansberg
37,36,75,90,2023-01-28,Port Arthurfort
38,41,193,63,2023-03-06,Marcusfort
39,1,147,37,2023-02-22,North Stephanieside
40,31,113,44,2023-08-29,Greenstad
41,4,65,62,2023-04-05,East Robertbury
42,5,103,63,2023-02-28,Lake Robertberg
43,37,162,88,2023-02-07,Phillipsville
44,10,39,73,2023-01-28,West Benjamin
45,6,64,16,2023-06-05,Lake Scott
46,49,107,78,2023-10-13,Brownborough
47,40,58,100,2023-11-02,Hollowayview
48,25,116,57,2023-09-25,Rodneyberg
49,38,110,40,2023-06-02,South Joseph
50,40,16,79,2023-10-19,North Bradley
51,49,54,81,2023-02-20,Lake Miguel
52,17,170,11,2023-04-19,South Amanda
53,16,45,71,2023-03-22,Lake Jaredland
54,11,1,53,2023-02-08,Lake Kevin
55,45,153,61,2023-08-19,Port Jeffreyton
56,3,60,37,2023-05-30,Pattonmouth
57,19,180,59,2023-12-28,East Michael
58,44,60,34,2023-02-06,East Paulberg
59,38,170,26,2023-11-17,New Dustin
60,8,140,29,2023-08-06,Lake Michele
