shipment_id,order_id,vehicle_id,scheduled_delivery,actual_delivery,delivery_cost
1,3655,28,2023-04-29,2023-04-28,425.1682824654772
2,3347,92,2023-08-16,2023-08-18,83.688911811937
3,3150,79,2023-07-14,2023-07-13,275.2196646100086
4,2226,27,2023-12-11,2023-12-13,223.9586418635994
5,4293,44,2023-06-14,2023-06-13,254.52575399506145
6,3178,57,2023-11-07,2023-11-07,192.75091589102675
7,634,77,2023-12-24,2023-12-26,92.5070095520785
8,3310,27,2023-04-22,2023-04-23,183.10008994117467
9,2246,32,2023-05-29,2023-05-29,195.9275892690827
10,3848,4,2023-12-18,2023-12-21,129.59571932467708
11,530,58,2024-01-01,2023-12-31,200.54624043488272
12,2828,47,2023-07-15,2023-07-14,250.5691612793729
13,3649,55,2023-02-15,2023-02-17,134.91360791498963
14,1873,35,2023-07-07,2023-07-08,244.48006791970218
15,1381,29,2023-10-27,2023-10-30,303.56155805408144
16,1604,5,2023-07-15,2023-07-16,33.50947776994122
17,1873,12,2023-12-29,2023-12-29,55.264622506279316
18,4529,7,2023-05-09,2023-05-08,267.3743958524238
19,2091,58,2023-03-18,2023-03-19,79.40067887801766
20,3571,36,2023-04-06,2023-04-06,210.63754448803655
21,1366,67,2023-02-04,2023-02-04,437.1869534642456
22,428,74,2023-12-02,2023-12-02,151.23906626172277
23,3853,55,2023-03-27,2023-03-27,18.419088019334332
24,1601,78,2023-12-31,2023-12-30,43.01723047114755
25,832,35,2023-04-02,2023-04-05,70.82726755543843
26,3790,71,2023-07-08,2023-07-08,84.83211771765419
27,1531,32,2023-01-05,2023-01-06,429.1495910598287
28,2231,66,2023-01-11,2023-01-14,257.2097756599688
29,466,51,2023-03-11,2023-03-11,33.68878863634747
30,1278,17,2023-05-04,2023-05-07,418.7971607589983
31,4702,36,2023-08-25,2023-08-25,232.92263713345713
32,901,92,2023-05-08,2023-05-08,323.66669868637075
33,347,9,2023-07-13,2023-07-13,10.28096177227215
34,3775,68,2023-09-08,2023-09-10,279.65471711248
35,3309,68,2023-08-27,2023-08-30,183.42838812864207
36,4961,74,2023-07-27,2023-07-28,266.50050393541414
37,3340,22,2023-09-15,2023-09-17,71.85752268411943
38,299,27,2023-02-07,2023-02-10,497.41014942583155
39,2445,15,2023-11-06,2023-11-08,197.46041777888436
40,2454,48,2023-01-13,2023-01-14,248.73858040097647
41,132,28,2023-08-11,2023-08-11,230.47081294616024
42,4837,98,2023-03-13,2023-03-14,204.21677812785632
43,1166,3,2023-04-27,2023-04-29,133.93077707678196
44,3271,60,2023-12-31,2024-01-02,192.06788966333778
45,1677,60,2023-03-08,2023-03-10,480.21299649148926
46,2011,19,2023-11-24,2023-11-23,154.75486236272354
47,436,45,2023-08-27,2023-08-29,444.6527988477177
48,3551,10,2023-11-03,2023-11-04,183.8394483352912
49,4199,71,2023-09-02,2023-09-01,467.6488177542772
50,3928,9,2023-06-30,2023-07-01,104.80485791018205
51,4152,22,2023-01-06,2023-01-05,81.51012364570407
52,4601,35,2023-01-31,2023-01-30,259.6582849857208
53,4269,48,2023-01-13,2023-01-15,207.6719064539675
54,3771,45,2023-11-15,2023-11-16,149.61431317257947
55,418,67,2023-10-27,2023-10-26,442.931186667196
56,3994,56,2023-09-21,2023-09-20,336.4968082447414
57,4490,94,2023-10-17,2023-10-20,42.97169871133426
58,1257,49,2023-06-19,2023-06-21,368.4104181382531
59,2189,19,2023-03-14,2023-03-14,55.66290484568799
60,3145,36,2023-07-21,2023-07-21,30.52690834974178
61,2482,2,2023-03-10,2023-03-10,215.00417939539616
62,1587,54,2023-03-19,2023-03-21,278.0574259788658
63,2091,27,2023-01-01,2022-12-31,90.06180562698778
64,307,34,2023-09-05,2023-09-04,117.3562811275589
65,1357,87,2023-09-10,2023-09-09,49.1850698591351
66,3766,44,2023-11-12,2023-11-13,426.7909772677264
67,2115,74,2023-10-13,2023-10-16,445.69344857074094
68,2709,81,2023-12-07,2023-12-08,268.0874861496923
69,4832,67,2023-12-16,2023-12-17,405.03259056051564
70,2010,29,2023-01-12,2023-01-14,246.86402330825015
71,2689,66,2023-06-03,2023-06-05,486.65296088826375
72,3316,7,2023-10-30,2023-10-31,402.82016137936483
73,2111,14,2023-03-17,2023-03-20,119.57635375707754
74,1794,32,2023-08-26,2023-08-26,463.7652998291898
75,4442,65,2023-07-05,2023-07-07,373.8365487450871
76,3435,73,2023-06-19,2023-06-20,49.75330925600341
77,1331,80,2023-09-04,2023-09-03,389.73336014031565
78,467,56,2023-07-27,2023-07-29,85.48251184053137
79,3877,4,2023-06-20,2023-06-21,67.93093786331734
80,1931,63,2023-09-09,2023-09-11,298.32737971003354
81,3321,56,2023-05-01,2023-05-02,129.185579115008
82,1351,44,2023-03-23,2023-03-26,170.30002035788115
83,3088,11,2023-02-21,2023-02-20,50.33202633362412
84,70,20,2023-10-04,2023-10-06,251.39775230977565
85,757,90,2023-11-28,2023-11-28,496.0002627608576
86,18,61,2023-04-01,2023-03-31,75.40681714413525
87,3005,87,2023-12-18,2023-12-19,336.3685335239668
88,717,6,2023-03-26,2023-03-27,171.76945201297062
89,320,75,2023-02-12,2023-02-11,311.0380378373297
90,1575,22,2023-07-20,2023-07-22,62.69385085248829
91,4861,38,2023-11-12,2023-11-15,45.12482127236635
92,2331,18,2023-02-03,2023-02-05,307.0221889590752
93,2130,21,2023-11-26,2023-11-29,57.09889302584231
94,4969,29,2023-12-19,2023-12-20,25.696531107744583
95,2775,86,2023-03-25,2023-03-27,407.03268693185703
96,2939,66,2023-06-06,2023-06-07,330.2098139060448
97,3286,54,2023-05-01,2023-05-02,336.46512873499637
98,1725,31,2023-08-25,2023-08-25,354.58496090812497
99,302,11,2023-01-31,2023-02-03,438.8193981921813
100,1210,14,2023-08-18,2023-08-18,83.1701425772694
101,602,37,2023-06-20,2023-06-21,293.84244946565093
102,3946,56,2023-07-29,2023-07-28,465.63790236199196
103,4523,94,2023-10-28,2023-10-29,469.3437372704169
104,1719,61,2023-12-02,2023-12-01,188.4625730417681
105,3202,25,2023-06-26,2023-06-25,33.96696951520411
106,2066,50,2023-04-06,2023-04-08,237.11693393127194
107,3257,91,2023-06-15,2023-06-17,75.12259453335989
108,2679,96,2023-12-29,2023-12-31,332.61835913543626
109,4642,90,2023-04-05,2023-04-04,435.895337639535
110,1345,33,2023-08-01,2023-07-31,248.5781600997244
111,2741,19,2023-01-22,2023-01-22,127.61145540523796
112,4948,64,2023-05-23,2023-05-23,363.1843510154734
113,3424,5,2023-01-05,2023-01-06,358.56895683744443
114,3056,44,2023-01-02,2023-01-01,246.5711993580187
115,4105,26,2023-04-19,2023-04-19,172.93378057609715
116,4137,36,2023-09-29,2023-10-01,445.8973216196911
117,4838,79,2023-11-10,2023-11-10,223.11945421366985
118,323,59,2023-10-30,2023-11-02,152.19471018022446
119,3740,6,2023-05-26,2023-05-27,18.77830184694219
120,4828,81,2023-02-02,2023-02-04,416.48085668932526
121,3419,60,2023-11-08,2023-11-11,123.16316583986475
122,2582,76,2023-04-25,2023-04-27,139.7032471533002
123,318,30,2023-12-09,2023-12-12,134.52953825487316
124,2174,1,2023-09-29,2023-09-29,29.86663176627794
125,3681,31,2023-07-23,2023-07-22,220.70527176115093
126,624,36,2023-10-02,2023-10-05,470.5592831537871
127,134,65,2023-11-24,2023-11-25,386.7614218154552
128,420,64,2023-10-25,2023-10-25,271.70410479628595
129,4525,37,2023-03-01,2023-03-01,463.55828534622316
130,3187,72,2023-06-18,2023-06-18,277.08099478103395
131,1641,2,2023-12-17,2023-12-19,49.04167675301182
132,2012,62,2023-01-11,2023-01-10,73.63996391169849
133,2116,22,2023-12-03,2023-12-04,339.18732498567783
134,3405,21,2023-08-07,2023-08-07,367.2892784350706
135,2961,13,2023-05-28,2023-05-29,498.9636902938528
136,4495,82,2023-02-05,2023-02-04,491.5786666142093
137,995,1,2023-05-03,2023-05-02,391.5457864661986
138,2213,23,2023-02-28,2023-03-02,175.3896211050833
139,4100,99,2023-10-01,2023-10-03,260.28200290968846
140,3943,86,2023-11-11,2023-11-12,394.893531432758
141,2919,12,2023-06-30,2023-06-30,200.0615339371184
142,1551,70,2023-05-09,2023-05-08,456.35076759607443
143,708,9,2023-03-25,2023-03-25,177.62958197717748
144,4277,89,2023-10-01,2023-10-01,244.55827441547535
145,2879,4,2023-06-24,2023-06-26,398.40600476272846
146,3543,14,2023-09-20,2023-09-22,114.0563906884661
147,1558,80,2023-11-23,2023-11-25,388.99705631519623
148,549,96,2023-04-27,2023-04-29,283.15430520259673
149,3751,50,2023-06-14,2023-06-15,107.56540805835695
150,344,5,2023-08-20,2023-08-20,11.823652906419715
151,2912,3,2023-12-07,2023-12-08,327.87124414723775
152,3405,96,2023-01-04,2023-01-05,432.3833548061984
153,699,18,2023-02-19,2023-02-22,265.0519479445518
154,955,76,2023-03-11,2023-03-13,252.2292500827959
155,4519,93,2023-06-24,2023-06-23,316.2238085814294
156,267,82,2023-06-12,2023-06-12,162.9085067895796
157,3487,38,2023-01-20,2023-01-19,36.90737307171386
158,2460,86,2023-03-12,2023-03-13,409.6897422223893
159,1254,36,2023-06-24,2023-06-26,490.84202927689734
160,4350,47,2023-02-08,2023-02-10,161.10871457999878
161,2457,53,2023-01-12,2023-01-11,490.8143936077211
162,2685,24,2023-12-31,2023-12-30,436.057393605546
163,4301,78,2023-11-03,2023-11-02,187.64075939024497
164,780,34,2023-06-20,2023-06-21,445.3201092081235
165,1497,74,2023-04-19,2023-04-22,402.1820780532885
166,1897,7,2023-05-22,2023-05-23,422.3189243131195
167,4508,97,2023-10-05,2023-10-04,407.67277992724473
168,4497,74,2023-12-20,2023-12-23,155.63113655221844
169,4525,85,2023-06-02,2023-06-01,448.70964823505574
170,334,40,2023-08-04,2023-08-03,332.36978093758677
171,2205,95,2023-01-27,2023-01-27,43.68629996638247
172,4820,1,2023-02-24,2023-02-26,30.837175472969747
173,2959,52,2023-10-05,2023-10-04,139.49830254774838
174,4841,72,2023-05-07,2023-05-06,173.6907871254243
175,1517,84,2023-10-19,2023-10-18,319.11104975641985
176,138,61,2023-04-22,2023-04-22,92.99109609091443
177,4176,31,2023-07-28,2023-07-27,343.8914895523921
178,2239,74,2023-04-07,2023-04-09,278.30624764097286
179,487,56,2023-04-19,2023-04-22,336.7723205710661
180,1577,68,2023-05-30,2023-05-31,76.7431507126621
181,4840,53,2023-10-24,2023-10-25,141.9865169527011
182,1022,91,2023-08-04,2023-08-05,327.6854311419681
183,4077,1,2023-02-28,2023-03-02,299.46130598836254
184,2073,89,2023-03-07,2023-03-10,100.33538683562466
185,4754,16,2023-12-10,2023-12-10,74.8998013766364
186,330,30,2023-05-08,2023-05-07,368.31371743513364
187,3234,18,2023-04-22,2023-04-23,480.10590825364466
188,4707,1,2023-11-30,2023-11-30,361.4458873441772
189,113,53,2023-02-24,2023-02-25,111.10338895817478
190,1183,19,2023-11-28,2023-11-27,435.71255960085125
191,2664,53,2023-07-13,2023-07-16,343.3541187255207
192,3633,85,2023-04-14,2023-04-14,111.32291772003028
193,2894,25,2023-12-07,2023-12-07,250.05753323113635
194,2244,56,2023-01-26,2023-01-27,11.498122903062104
195,3798,21,2023-02-01,2023-01-31,376.6789146869356
196,4295,38,2023-04-15,2023-04-17,64.10407812774352
197,2353,19,2023-05-26,2023-05-27,96.75943835686604
198,113,61,2023-09-29,2023-09-28,297.3773807486164
199,2850,39,2023-11-26,2023-11-26,230.17810522357195
200,2258,62,2023-07-19,2023-07-20,88.62456340619653
201,1807,57,2023-03-10,2023-03-09,392.6938284551074
202,3981,50,2023-04-23,2023-04-26,259.751878041963
203,1186,15,2023-05-18,2023-05-19,265.79383369429013
204,810,35,2023-12-04,2023-12-07,401.736055254984
205,3308,3,2023-02-02,2023-02-05,479.00552446809576
206,878,31,2023-05-25,2023-05-26,406.757975591005
207,4555,79,2023-10-22,2023-10-25,461.6954659644078
208,4072,68,2023-01-02,2023-01-02,479.7245433150926
209,2682,99,2023-12-20,2023-12-23,215.6658183656336
210,2796,1,2023-09-04,2023-09-04,101.81221420428491
211,2510,93,2023-08-06,2023-08-07,351.053198011597
212,2228,76,2023-04-13,2023-04-15,338.2197779605978
213,4929,73,2023-10-16,2023-10-17,57.08406676472381
214,3866,80,2023-04-11,2023-04-11,169.11037737461686
215,2754,46,2023-08-30,2023-08-30,270.91813350752216
216,4040,30,2023-08-09,2023-08-12,18.051373272890977
217,625,14,2023-10-17,2023-10-17,123.3391719405375
218,360,27,2023-08-28,2023-08-30,272.1405500025933
219,595,14,2023-12-15,2023-12-18,226.22777575277667
220,1112,29,2023-04-20,2023-04-20,191.72972192957644
221,300,33,2023-01-06,2023-01-09,210.47770879369938
222,2298,83,2023-10-29,2023-10-31,447.6203410510076
223,766,44,2023-05-02,2023-05-05,68.20175957545618
224,2051,77,2023-10-02,2023-10-02,31.64357172881143
225,2270,70,2023-03-27,2023-03-26,463.851826135836
226,4011,28,2023-07-30,2023-07-31,59.04583665332187
227,4127,75,2023-04-28,2023-05-01,146.058279797774
228,3499,90,2023-06-28,2023-06-29,379.1304201010938
229,4558,90,2023-03-26,2023-03-25,372.0613427294826
230,4684,3,2023-12-08,2023-12-09,104.34686649079195
